OS_PLATFORM,MODEL,DV_MODEL,CO2_FOOTPRINT,USER_COUNTRY_CD,USER_ID_ENCRYPTED,EMPLOYEE_TYPE,DEVICECAPACITY
15.8,IPAD AIR 2,IPAD AIR 2ND GEN,,SK,NZJXQaM,EMP - Regular,64
17.3.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,PWUHU^BI,EMP - Regular,64
17.4,IPHONE 13,IPHONE 13,64,CH,VKQEK\B9,EMP - Regular,128
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,PMRRJTT,EMP - Regular,64
17.4,IPHONE 13,IPHONE 13,64,US,QI]EYPFK,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,MY,ZIWEHLV_,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,US,ZQUG`MLS,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,US,ULRI`,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,US,]P^V9,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,NIVVGVT,EMP - Regular,128
17.4,IPAD PRO 11-INCH 3RD,IPAD PRO 11-INCH 3RD GEN,112,US,PIUMQ[JL,EMP - Regular,256
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,46,DE,NIQ]GTBQ,EMP - Regular,64
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,46,DE,GMUZKVU],EMP - Regular,64
17.3.1,IPAD PRO 12.9-INCH 5,IPAD PRO 12.9-INCH 5TH GEN,,US,R_NRYM5,EMP - Regular,256
17.4,IPHONE 11,IPHONE 11,77,US,VXJNKZK,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,CN,[]S78,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,CN,ZIWK^;6<,EMP - Regular,128
17.3,IPHONE 13,IPHONE 13,64,DE,EI\ITMS[,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,SZJXZ[5,EMP - Regular,128
